nconst,category,primaryName,birthYear,deathYear,knownForTitles
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm0046017,writer,Vanessa Baden,1985.0,,"tt5571280,tt0115231,tt2771728,tt5574490"
nm4918462,director,Solvan Naim,,,"tt6439752,tt2375037,tt3281796,tt3990640"
nm0944798,director,Loren Yaconelli,,,"tt10148174,tt1586680,tt5574490"
nm0944798,director,Loren Yaconelli,,,"tt10148174,tt1586680,tt5574490"
nm0944798,director,Loren Yaconelli,,,"tt10148174,tt1586680,tt5574490"
nm1243077,writer,Bill Balas,,,"tt2188671,tt5574490,tt6156584,tt2805096"
nm1243077,writer,Bill Balas,,,"tt2188671,tt5574490,tt6156584,tt2805096"
nm1243077,writer,Bill Balas,,,"tt2188671,tt5574490,tt6156584,tt2805096"
nm0069513,director,Laura Belsey,,,"tt6111130,tt3107288,tt2193021,tt4474344"
nm0177512,director,Janice Cooke,,,"tt0089886,tt0400037,tt0158552,tt0368530"
nm0177512,director,Janice Cooke,,,"tt0089886,tt0400037,tt0158552,tt0368530"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm1944708,writer,Jas Waters,1980.0,2020.0,"tt5555260,tt7634968,tt7375404,tt6110624"
nm0287198,director,John Fortenberry,,,"tt0120770,tt0367279,tt3305096,tt0104843"
