tconst,averageRating,numVotes
tt3725024,8.7,4613
tt3721722,9.1,5507
tt3721724,9.3,6182
tt3955000,8.4,4675
tt4547200,8.8,4406
tt4550136,8.4,4237
tt4550146,8.6,4095
tt4550148,9.0,4784
tt4550864,9.0,4492
tt4550868,9.6,8610
tt4550870,8.6,4213
tt4510954,9.5,7809
tt4550866,9.3,5550
tt5262534,8.9,4633
tt5337978,8.8,4075
tt5337984,8.6,4268
tt5338010,9.2,4842
tt5338022,8.8,4243
tt5338034,9.0,4275
tt5338040,9.3,5784
tt5338044,9.5,7383
tt4303066,8.3,1390
tt5770168,8.4,7890
tt5974776,8.1,6120
tt6021898,7.6,5702
tt6021900,8.0,5396
tt6021904,7.9,5191
tt6021906,8.0,5123
tt6021918,8.0,5050
tt6021922,7.5,5622
tt6021926,8.7,5614
tt6021928,9.1,7031
tt7258794,8.2,4696
tt7757530,8.0,4240
tt8014750,7.8,4135
tt7831074,8.1,4100
tt8014756,8.7,4618
tt7986260,8.5,4185
tt8014758,8.4,4433
tt8022752,8.2,3927
tt8022760,8.6,4197
tt8022768,8.9,4752
tt9108660,8.1,4519
tt9108662,8.4,4280
tt9108664,8.4,4169
tt9108666,8.5,4162
tt9108670,8.1,3918
tt9108676,8.5,4064
tt9108674,8.2,3959
tt9108678,8.7,4607
tt9108686,9.3,7613
tt9108684,9.4,7899
tt2161930,8.5,7985
tt2250466,8.5,6397
tt2248444,8.2,5710
tt2248422,8.1,5379
tt2294870,8.4,5238
tt2311910,8.5,5218
tt2311926,8.1,4911
tt2312714,7.6,5111
tt2248426,8.4,4831
tt2468204,8.7,4888
tt2440660,9.0,5345
tt2555986,8.5,4711
tt2555988,8.8,5133
tt2811510,9.5,8994
tt3221190,8.3,4524
tt2990016,8.4,4371
tt3001906,9.0,4905
tt3001926,8.2,4175
tt3221232,8.3,4050
tt3147682,8.3,4042
tt3147690,8.5,4031
tt1670345,7.2,655214
tt3186026,8.9,4309
tt3221270,8.3,3961
tt3297502,8.6,4298
tt3326204,8.8,4131
tt3326208,9.5,6794
tt0265208,6.7,225370
tt3513862,8.0,4530
tt3892086,8.4,4086
tt3892088,8.5,4334
tt3892094,8.2,3869
tt3897442,8.1,3740
tt3897454,9.0,5237
tt3918768,8.1,3802
tt4083028,8.2,3632
tt4035250,8.3,3620
tt4128566,8.1,3594
tt4128572,9.0,4174
tt4128574,8.7,3759
tt4221826,8.9,4715
tt4498368,7.9,3991
tt4817660,8.2,3602
tt4817664,8.8,3762
tt4817670,9.3,4509
tt4949018,8.4,3408
tt4949028,8.5,3518
tt5025272,8.4,3356
tt5095720,8.1,3228
tt5083704,8.7,3394
tt5095730,9.2,4338
tt5095732,8.3,3280
tt5095742,8.7,3402
tt5095748,9.4,6182
tt0480249,7.2,751955
tt1119646,7.7,779855
tt11193428,9.1,5513
tt11193420,8.6,4444
tt11193418,8.7,4783
tt11156378,9.0,5608
tt11046490,8.5,4771
tt11044160,8.9,5342
tt11044158,8.3,4999
tt10989892,8.5,5174
tt10989890,8.1,5176
tt10989880,7.8,5712
tt1467481,7.6,5167
tt1503241,7.7,4497
tt1480354,8.1,4440
tt1527326,8.0,4091
tt1515325,7.6,3850
tt1515324,7.7,3917
tt1528909,8.6,4484
tt1531446,7.8,3767
tt1544667,8.1,3819
tt1531175,8.7,4528
tt1550378,7.8,3660
tt1559103,8.3,3946
tt1575766,7.9,3783
tt1584204,7.8,3598
tt1593849,8.0,3593
tt1593848,8.4,3743
tt1594619,8.9,4646
tt1612641,7.9,3588
tt1582821,8.3,3791
tt1619954,8.3,3690
tt1628912,9.2,5902
tt1628913,7.8,3747
tt1595996,9.8,12487
tt1628195,8.1,3503
tt1652486,8.4,3796
tt1640852,8.6,4025
tt1640868,8.2,3630
tt1640863,8.0,3515
tt1640869,8.6,4199
tt1640874,9.4,5965
tt1640870,7.7,3908
tt1640871,9.2,5799
tt1640872,8.4,3993
tt1640873,9.0,4921
tt1640854,8.6,5253
tt1640855,7.9,3354
tt1640853,8.4,3912
tt1640856,7.8,3454
tt1824317,9.5,6646
tt1640857,7.9,3437
tt1640858,8.7,3985
tt1640860,8.1,3539
tt1640861,7.3,3308
tt1640862,8.9,4640
tt1640864,7.5,3263
tt1640865,9.0,4640
tt1640866,7.9,3278
tt1640867,9.6,7538
tt1862636,9.5,6141
tt1986325,8.0,3519
tt2060962,8.0,3474
tt2063144,7.9,3472
tt2060963,9.8,11826
tt2063145,8.7,4087
tt2049724,7.6,3383
tt2083482,8.5,3701
tt2083483,9.0,4567
tt2080563,8.3,3580
tt2105238,8.5,4213
tt2117096,7.6,3272
tt2090774,7.9,3338
tt2128972,8.1,3372
tt2127579,9.3,5591
tt2194835,8.0,3318
tt2194837,8.5,3762
tt2194839,9.4,5596
tt2192103,8.1,3228
tt2196353,9.1,4318
tt2383315,9.4,5745
tt2279599,9.0,3987
tt2383317,8.7,3590
tt2295962,7.2,3632
tt2371360,7.5,3257
tt2672790,7.2,3213
tt2699318,7.0,3039
tt2712482,7.4,3076
tt2717182,7.5,2978
tt2764048,6.7,3034
tt2777464,7.8,3241
tt2791144,6.8,3529
tt2578322,7.5,2995
tt2522288,7.9,3109
tt2560884,8.1,3326
tt2855096,7.7,3186
tt2911368,7.7,3432
tt3176520,8.4,3486
tt3230996,9.0,4456
tt3278566,9.2,4482
tt3278574,9.4,5043
tt3278580,8.1,3147
tt3278586,7.7,2834
tt3278596,8.9,4090
tt3278600,7.9,2942
tt3313070,8.3,3151
tt3313074,7.8,3212
tt3313076,7.6,2654
tt3313082,8.1,2781
tt4242870,7.6,2713
tt4242872,7.9,2831
tt4242876,7.5,2596
tt4242880,7.4,2653
tt4242884,7.2,2632
tt4242890,7.7,2683
tt4242886,7.5,2619
tt4242896,8.8,3407
tt4242898,8.5,3127
tt3898640,9.4,5835
tt4242868,7.4,2875
tt4242892,7.4,2648
tt3840022,7.6,3060
tt4259458,8.0,1313
tt4228750,8.1,1303
tt4259460,8.0,1305
tt4277628,8.4,1326
tt0469494,8.2,581781
tt4257820,8.1,1271
tt4343722,8.9,1644
tt4331672,9.0,1687
tt6412452,7.3,146579
tt5364812,8.1,1765
tt5426706,7.8,1234
tt5429960,8.0,1113
tt5448634,7.9,1002
tt5448638,8.0,950
tt5448644,8.0,921
tt5448646,8.5,974
tt5448648,8.5,973
tt7399024,7.7,797
tt7607990,7.7,675
tt7608112,8.1,652
tt7806416,7.9,615
tt7806424,8.0,597
tt0664521,7.3,8413
tt0664514,8.1,8290
tt0453451,6.4,126407
tt0664517,7.6,6904
tt0330373,7.7,619707
tt1201607,8.1,865591
tt0295297,7.4,627785
tt0926084,7.7,542855
tt0417741,7.6,539236
tt0373889,7.5,575527
tt0090859,5.8,73456
tt0241527,7.6,768382
tt0278784,8.9,15431
tt0734840,8.3,5400
tt0734843,8.9,5698
tt0734831,8.2,4791
tt0734837,8.1,4598
tt0734818,8.4,4498
tt0734830,8.5,4392
tt0734835,9.0,4883
tt0664523,7.9,6668
tt0664510,8.3,7403
tt0664518,7.6,6590
tt0664525,8.6,7427
tt0664522,8.1,6377
tt0664519,8.2,6285
tt0664527,8.2,6186
tt0664516,8.0,5831
tt0664526,8.0,5838
tt0664524,8.5,6158
tt0664520,8.0,5550
tt0664515,8.2,5710
tt0664513,8.7,6307
tt0664511,8.5,6099
tt0664528,9.0,7274
tt0756967,8.1,5421
tt0756966,7.7,5352
tt0664512,8.0,5327
tt0763221,8.2,5346
tt0770626,8.3,5674
tt0779510,8.2,5536
tt0776249,8.0,5323
tt0795874,8.2,5409
tt0796140,8.6,5551
tt0800604,9.3,7922
tt0859444,8.9,7169
tt0859445,8.0,5217
tt5734500,9.2,6385
tt5924012,8.5,3658
tt6099382,8.6,3419
tt6085956,8.7,3409
tt6098130,8.6,3284
tt6072420,8.5,2789
tt6115024,8.5,2695
tt6072390,9.0,3325
tt6034056,8.6,2903
tt6115034,8.9,3098
tt6142654,8.3,2446
tt6142658,8.9,3065
tt6142662,8.6,2767
tt6142660,8.2,2339
tt6142664,8.9,2958
tt6142668,9.5,4842
tt6142666,8.9,2758
tt6142670,8.6,2553
tt4916994,8.0,1135
tt5580068,8.0,805
tt5580070,8.0,745
tt5580074,8.0,686
tt5580080,8.1,667
tt5580088,8.1,613
tt5580090,8.4,652
tt5580092,8.3,622
tt5580094,8.9,707
tt5580096,9.0,758
tt0720143,8.0,1729
tt0757760,8.0,1398
tt0720167,7.7,1311
tt0720072,7.8,1173
tt0720175,7.8,1171
tt0720075,7.6,1215
tt0720184,8.1,1277
tt0776257,8.0,1237
tt0720170,7.4,1116
tt0720074,8.1,1322
tt0720179,7.9,1127
tt0720161,7.7,1096
tt0720165,7.7,1071
tt0720177,7.8,1160
tt0720087,7.7,1073
tt0720186,8.2,1101
tt0720180,7.9,1105
tt0720145,7.8,1096
tt0720047,8.3,1229
tt0720200,8.1,1111
tt0720146,7.4,1066
tt0720094,8.0,1078
tt0720103,8.1,1120
tt0720183,8.0,1077
tt0777557,7.6,1233
tt0720199,7.8,955
tt0777560,7.7,944
tt0720162,8.0,955
tt0720073,7.6,945
tt0720152,7.6,914
tt0720125,7.6,902
tt0720083,7.5,908
tt0777559,7.7,934
tt0720154,7.7,889
tt0720058,7.8,952
tt0777555,7.8,894
tt0720123,7.8,901
tt0720142,8.1,927
tt0777562,7.7,877
tt0720122,7.5,865
tt0720117,7.3,858
tt0720099,7.5,886
tt0720149,7.8,856
tt0777558,8.1,899
tt0720134,7.9,893
tt0720095,8.1,1053
tt0720192,7.5,981
tt0720153,7.7,984
tt0720089,8.4,1166
tt0720155,8.3,973
tt0720150,8.1,922
tt0720106,7.5,849
tt0720195,8.0,1090
tt0720157,7.6,829
tt0720082,8.5,1065
tt0777556,7.4,810
tt0720116,8.0,861
tt0720105,7.6,821
tt0720112,7.7,820
tt0720205,7.6,797
tt0720086,7.6,815
tt0720065,8.6,1063
tt0720147,7.5,797
tt0720069,7.6,805
tt0720158,7.7,788
tt0720124,8.0,844
tt0720191,7.7,792
tt0720081,7.4,786
tt0720100,7.5,790
tt0720085,7.5,773
tt0720078,7.6,797
tt0720061,8.2,935
tt0720052,7.3,794
tt0720187,7.7,799
tt0720077,7.6,792
tt0720144,7.5,755
tt0720102,7.6,820
tt0720059,7.6,775
tt0720188,7.5,747
tt0720198,7.4,748
tt0720070,7.3,751
tt0777566,7.6,723
tt0720151,7.7,790
tt0720190,7.3,740
tt0720048,7.4,783
tt0720118,7.5,739
tt0720080,8.2,885
tt0720196,7.7,768
tt0720068,7.3,733
tt0720121,7.5,717
tt0720127,7.2,707
tt0720119,7.6,723
tt0720064,8.2,859
tt0758103,8.1,744
tt0720076,7.7,718
tt0720104,8.0,736
tt0720176,7.2,1191
tt0720084,7.5,697
tt0720130,8.0,746
tt0720115,8.0,950
tt0720092,7.7,768
tt0720109,7.5,722
tt0777567,7.6,690
tt0720097,7.6,703
tt0720148,7.4,692
tt0720141,7.5,711
tt0720101,7.5,681
tt0720174,7.7,683
tt0720055,7.6,685
tt0777565,7.5,669
tt0720182,7.3,668
tt0720133,8.0,735
tt0720214,7.5,681
tt0720050,7.5,678
tt0720202,7.5,660
tt0720207,7.5,661
tt0720053,7.4,676
tt0720098,7.6,729
tt0720057,7.4,664
tt0720137,7.3,647
tt0720197,7.3,650
tt0720211,8.0,680
tt0720138,7.6,646
tt0777561,7.8,673
tt0720062,8.2,722
tt0720185,7.5,714
tt0720120,7.4,645
tt0777563,7.6,662
tt0720178,7.5,666
tt0720110,7.3,651
tt0720201,7.5,641
tt0720063,7.6,670
tt0720111,7.3,645
tt0720213,7.6,658
tt0720046,7.5,634
tt0720107,7.3,631
tt0720159,7.3,666
tt0720209,7.3,641
tt0720051,7.5,648
tt0720203,7.2,636
tt0720131,7.6,630
tt0720096,7.6,643
tt0720066,7.3,605
tt0720169,7.2,609
tt0720164,7.6,644
tt0720045,7.2,626
tt0777564,7.9,650
tt0720136,7.3,616
tt0720091,7.3,609
tt0720189,7.5,613
tt4458716,8.0,1232
tt0720194,7.3,622
tt0720128,7.3,610
tt0720108,7.2,599
tt0720054,7.3,594
tt0720114,7.1,585
tt0720156,7.1,593
tt0720135,7.4,686
tt0720049,7.2,627
tt0720210,7.2,610
tt0720171,7.4,607
tt0720208,7.4,598
tt0720067,7.1,640
tt0720060,7.9,684
tt0720168,7.8,634
tt0720113,7.3,638
tt0720140,7.1,597
tt0720071,7.2,597
tt0720139,7.1,592
tt0720206,7.1,575
tt0720090,7.2,579
tt0720044,7.2,604
tt0720043,7.1,604
tt0720173,7.1,591
tt0720160,7.5,613
tt0720193,8.0,704
tt0720056,7.2,709
tt0720163,6.7,653
tt0720212,6.4,643
tt0720132,7.0,671
tt0720088,6.7,632
tt0720093,6.5,596
tt0720204,6.4,599
tt0720172,6.2,611
tt0757761,6.3,583
tt0762534,6.4,588
tt0767644,6.3,592
tt0780946,6.4,573
tt0796168,6.3,577
tt0796169,6.5,584
tt0796167,6.4,576
tt0799370,6.5,612
tt0769458,6.4,592
tt0802894,6.4,579
tt0799723,7.3,695
tt0817466,8.8,1638
tt5866450,8.1,555
tt6340206,8.0,506
tt6351700,7.9,491
tt6374498,8.2,499
tt6378404,8.6,519
tt6378414,8.9,536
tt6378424,8.5,488
tt6378430,8.2,465
tt6378446,8.2,453
tt6351698,8.7,482
tt6887628,8.6,472
tt6887636,8.8,482
tt6975126,9.1,608
tt7186580,8.5,578
tt7880680,8.2,493
tt7941636,8.2,468
tt7967172,8.6,474
tt8054536,8.0,460
tt8111968,8.1,436
tt8111972,8.2,441
tt8111974,8.6,455
tt8227804,8.1,418
tt8292740,8.4,431
tt8329046,8.9,484
tt8367054,8.6,421
tt8368550,8.9,497
tt8652208,8.2,518
tt9421726,8.0,424
tt8993280,8.1,415
tt9783638,8.2,410
tt9881516,8.2,394
tt10061642,8.3,398
tt10061656,8.1,405
tt10061664,9.2,624
tt10111020,8.3,404
tt10242924,8.4,377
tt10728712,8.5,414
tt10544282,9.5,861
tt10740318,8.5,490
tt6439846,8.8,2675
tt6439842,8.4,2225
tt6439850,8.4,2173
tt6439852,8.2,2202
tt6439856,8.3,2371
tt6439858,8.4,2328
tt6439854,8.7,2266
tt6439848,9.2,3082
tt6439860,8.6,2314
tt6439864,8.8,2423
tt6439862,9.2,2670
tt6439866,8.3,2096
tt6439868,9.3,3300
tt6439870,9.7,5974
tt6439884,9.2,2628
tt6439876,8.0,2108
tt6439880,7.8,2276
tt6439882,8.7,2308
tt0868440,8.4,5462
tt0877241,7.9,5217
tt0873237,7.9,5071
tt0888293,7.8,5313
tt0888292,8.5,5241
tt0894520,8.6,5441
tt0900677,8.2,5469
tt0908674,8.7,5764
tt0918835,8.5,5193
tt0934246,8.5,5222
tt0937879,8.7,5474
tt0954759,7.9,5046
tt0962460,8.1,5131
tt0964922,8.8,5945
tt0967814,8.3,5050
tt0983623,8.9,5779
tt0966362,8.6,5354
tt1008441,8.5,5281
tt1020711,8.7,5357
tt1028389,9.0,6186
tt1030253,9.2,6519
tt1026035,8.7,5976
tt1031459,8.1,4959
tt1031470,8.3,4857
tt1031472,8.5,5177
tt1031473,8.6,5338
tt1031474,8.3,4930
tt1031475,8.0,4766
tt1031476,8.6,5066
tt1031477,9.4,9882
tt1031449,7.9,4680
tt1031450,8.5,4892
tt1031451,8.1,4677
tt1031452,7.6,4490
tt1031453,9.2,6654
tt1236462,8.7,5464
tt1248743,8.1,4519
tt1248747,7.8,4527
tt1248748,7.9,4344
tt1248749,7.9,4459
tt1248750,8.4,4657
tt1248751,8.0,4359
tt1248752,8.5,4849
tt1248753,8.6,4782
tt1248733,8.2,4486
tt1248734,8.6,4677
tt1248735,7.9,4486
tt1248736,9.7,14053
tt1248737,8.0,4366
tt1248738,8.0,4300
tt1248739,7.9,4247
tt1248740,8.6,4628
tt1248741,8.2,4334
tt1248742,8.3,4288
tt1248745,8.1,4285
tt1248744,8.6,4688
tt1248746,8.6,4446
tt1268727,9.2,6012
tt1406712,8.1,4255
tt1417507,8.7,5058
tt1417732,8.9,5102
tt1467798,8.7,5043
tt1487740,8.0,4101
tt1487741,7.8,4078
tt1487742,9.2,7298
tt5541236,9.4,6395
tt1520196,7.5,4324
tt1520197,8.5,4517
tt1524878,8.0,4104
tt1531589,8.0,4065
tt1535367,8.6,4926
tt1536326,8.0,4097
tt1544466,8.2,4700
tt1548747,8.4,4317
tt1564719,6.7,5237
tt1564720,7.5,3922
tt1564721,7.9,3859
tt1582153,8.3,4146
tt1582154,8.4,4138
tt1589333,7.5,3818
tt1589334,7.6,3816
tt1589335,8.5,4337
tt1589336,7.7,3821
tt1589337,7.8,3831
tt1589338,8.0,3855
tt1610228,7.6,3696
tt1610229,7.9,3813
tt1691733,8.2,4337
tt1707764,8.1,3974
tt1707765,8.1,4251
tt1707766,7.7,3905
tt1725593,7.6,3814
tt1725594,8.0,3947
tt1724495,7.3,3921
tt1752582,7.7,3886
tt1752583,7.5,3757
tt1752581,8.1,3984
tt1752584,8.9,5014
tt1776740,8.1,4015
tt1810331,7.5,3806
tt1817005,8.4,4219
tt1817006,8.3,4097
tt1817007,9.3,8558
tt1832204,7.3,3750
tt1833194,9.3,6690
tt1833195,7.6,3881
tt1833196,8.9,5537
tt1833197,9.8,15057
tt1848618,7.4,3880
tt1848619,8.6,4225
tt1848620,8.6,4429
tt2000321,7.9,4067
tt2051718,8.0,3850
tt2061513,7.1,3665
tt2072796,8.0,4042
tt2074990,7.4,3612
tt2079359,7.4,3483
tt2077604,7.5,3725
tt2071306,6.7,3715
tt2107510,7.5,3638
tt2113519,7.7,3557
tt2139249,7.7,3537
tt2156255,7.9,3835
tt2181631,7.3,3441
tt2202113,7.7,3539
tt2190001,7.5,3355
tt2213999,7.9,3677
tt2230719,7.7,3506
tt2268001,7.6,3423
tt2267999,6.4,3981
tt2280881,6.8,3515
tt2362659,6.7,3830
tt2366113,6.9,3375
tt2366115,7.4,3291
tt2374269,7.5,3440
tt2240226,7.4,3672
tt2240224,6.9,3521
tt2359466,7.1,3477
tt2349780,7.6,3701
tt2433396,6.8,3599
tt2435600,7.6,3537
tt2471292,7.4,3377
tt2476014,7.7,3542
tt2514850,8.2,3972
tt2572724,7.5,3499
tt2572726,7.6,3439
tt2572728,7.7,3536
tt2572732,7.3,3341
tt2572734,7.2,3364
tt2572738,7.0,3433
tt2572740,7.8,3700
tt2361870,7.3,3892
tt2669734,7.8,3437
tt2669736,7.8,3564
tt2669744,7.8,3662
tt2669740,9.4,7112
tt2876480,9.0,5390
tt2669746,9.8,18358
tt2991722,8.0,4067
tt0800320,5.8,282676
tt0104431,6.8,351166
tt0074285,7.4,186852
tt0120812,7.0,266979
